"Kod";"Nazwa";"Płeć";"Kraj obywatelstwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1400000;"MAZOWIECKIE";"ogółem";"Holandia";"2011";149;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Indie";"2011";311;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Japonia";"2011";154;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Kazachstan";"2011";108;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Litwa";"2011";240;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Mongolia";"2011";124;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Niemcy";"2011";528;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Rosja";"2011";1295;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Rumunia";"2011";201;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Serbia";"2011";106;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Stany Zjednoczone";"2011";357;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Szwecja";"2011";244;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Turcja";"2011";242;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Ukraina";"2011";4002;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Węgry";"2011";113;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Wielka Brytania";"2011";662;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Wietnam";"2011";1928;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Włochy";"2011";295;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"bezpaństwowcy";"2011";14;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"obywatelstwo nieustalone";"2011";156;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Armenia";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Austria";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Białoruś";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Francja";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
